,1,2,3,5,10,15,20
5,0.0,0.0,0.0,0.0,0.125,0.25,0.3125
10,0.0,0.0,0.125,0.125,0.3125,0.5625,0.625
15,0.0,0.0625,0.1875,0.3125,0.4375,0.6875,0.6875
20,0.0,0.125,0.3125,0.4375,0.5625,0.75,0.75
30,0.0,0.125,0.375,0.4375,0.625,0.75,0.75
40,0.0,0.125,0.375,0.375,0.5,0.75,0.75
50,0.0,0.125,0.375,0.375,0.5,0.75,0.75
60,0.0,0.125,0.375,0.375,0.5,0.75,0.75
70,0.0,0.125,0.375,0.375,0.5,0.75,0.75
80,0.0,0.125,0.375,0.375,0.5,0.75,0.75
90,0.0,0.125,0.375,0.375,0.5,0.75,0.75
100,0.0,0.125,0.375,0.375,0.5,0.75,0.75
